"","trial_id","id","url","is_nsfw","subject_id","trial_number","prompt","created_at","experiment_name","containsNSFW","filename"
"1","66f3f5818fc41826ca81d197","66f3f5818fc41826ca81d198","https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Training1_0.png","False","FS_2BbT7DpAdCeXEoz","Training1","crying banana on the wall in my psychodelic dream with malaria fever on a boat in the middle of plastic ocean","2024-09-25 11:35:29.792","Artist_final",1,"FS_2BbT7DpAdCeXEoz_Training1_0.png"
"2","66f3f5818fc41826ca81d197","66f3f5818fc41826ca81d199","https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Training1_1.png","False","FS_2BbT7DpAdCeXEoz","Training1","crying banana on the wall in my psychodelic dream with malaria fever on a boat in the middle of plastic ocean","2024-09-25 11:35:29.792","Artist_final",1,"FS_2BbT7DpAdCeXEoz_Training1_1.png"
"3","66f3f5818fc41826ca81d197","66f3f5818fc41826ca81d19a","https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Training1_2.png","False","FS_2BbT7DpAdCeXEoz","Training1","crying banana on the wall in my psychodelic dream with malaria fever on a boat in the middle of plastic ocean","2024-09-25 11:35:29.792","Artist_final",1,"FS_2BbT7DpAdCeXEoz_Training1_2.png"
"4","66f3f5818fc41826ca81d197","66f3f5818fc41826ca81d19b","https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Training1_3.png","True","FS_2BbT7DpAdCeXEoz","Training1","crying banana on the wall in my psychodelic dream with malaria fever on a boat in the middle of plastic ocean","2024-09-25 11:35:29.792","Artist_final",1,"FS_2BbT7DpAdCeXEoz_Training1_3.png"
"5","66f3f5fe8fc41826ca81d19c","66f3f5fe8fc41826ca81d19d","https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Training2_0.png","False","FS_2BbT7DpAdCeXEoz","Training2","my head is exploding with deadlines and regulations. flies are drunk from yesterday wine and i am dead on the sofa","2024-09-25 11:37:34.536","Artist_final",0,"FS_2BbT7DpAdCeXEoz_Training2_0.png"
"6","66f3f5fe8fc41826ca81d19c","66f3f5fe8fc41826ca81d19e","https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Training2_1.png","False","FS_2BbT7DpAdCeXEoz","Training2","my head is exploding with deadlines and regulations. flies are drunk from yesterday wine and i am dead on the sofa","2024-09-25 11:37:34.536","Artist_final",0,"FS_2BbT7DpAdCeXEoz_Training2_1.png"
"7","66f3f5fe8fc41826ca81d19c","66f3f5fe8fc41826ca81d19f","https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Training2_2.png","False","FS_2BbT7DpAdCeXEoz","Training2","my head is exploding with deadlines and regulations. flies are drunk from yesterday wine and i am dead on the sofa","2024-09-25 11:37:34.536","Artist_final",0,"FS_2BbT7DpAdCeXEoz_Training2_2.png"
"8","66f3f5fe8fc41826ca81d19c","66f3f5fe8fc41826ca81d1a0","https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_Training2_3.png","False","FS_2BbT7DpAdCeXEoz","Training2","my head is exploding with deadlines and regulations. flies are drunk from yesterday wine and i am dead on the sofa","2024-09-25 11:37:34.536","Artist_final",0,"FS_2BbT7DpAdCeXEoz_Training2_3.png"
"9","66f3f6558fc41826ca81d1a1","66f3f6558fc41826ca81d1a2","https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ2_0.png","False","FS_2BbT7DpAdCeXEoz","FaithfulQ2","study tree reading a book in the library","2024-09-25 11:39:01.012","Artist_final",0,"FS_2BbT7DpAdCeXEoz_FaithfulQ2_0.png"
"10","66f3f6558fc41826ca81d1a1","66f3f6558fc41826ca81d1a3","https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ2_1.png","False","FS_2BbT7DpAdCeXEoz","FaithfulQ2","study tree reading a book in the library","2024-09-25 11:39:01.012","Artist_final",0,"FS_2BbT7DpAdCeXEoz_FaithfulQ2_1.png"
